"Accepted Symbol","Synonym Symbol","Scientific Name","Invasive","C:N Ratio","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Leaf Retention","Nitrogen Fixation","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Frost Free Days, Minimum","Moisture Use","pH (Minimum)","pH (Maximum)","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Shade Tolerance","Temperature, Minimum (°F)","Commercial Availability","Propogated by Seed","Palatable Browse Animal"
"ABGR4","","Abelia ×grandiflora","","High","Rapid","6","6.0","Yes","None","Yes","Yes","150","Medium","5.7","7.0","28","60","12","Tolerant","-13","Routinely Available","No","Low"
"ABAM","","Abies amabilis","","High","Slow","20","165","Yes","None","Yes","Yes","90","Medium","3.3","6.0","38","260","36","Tolerant","-28","Routinely Available","Yes","Low"
"ABBA","","Abies balsamea","","High","Slow","18","60","Yes","None","Yes","Yes","80","Medium","4.0","6.0","13","60","20","Tolerant","-43","Routinely Available","Yes","Medium"
"ABCO","","Abies concolor","","High","Slow","20","120","Yes","None","Yes","Yes","80","Medium","5.5","7.8","18","80","40","Intermediate","-38","Routinely Available","Yes","Low"
"ABFR","","Abies fraseri","","High","Moderate","20","55","Yes","None","Yes","Yes","90","Medium","3.5","5.5","45","100","6","Tolerant","-23","Routinely Available","Yes","Low"
"ABLA","","Abies lasiocarpa","","High","Slow","15","90","Yes","None","Yes","Yes","120","Medium","4.0","6.5","20","150","40","Tolerant","-51","Routinely Available","Yes","Low"
"ACKO","","Acacia koa","","Low","Moderate","100","110","Yes","High","Yes","Yes","365","Medium","5.0","7.0","50","200","30","Intolerant","31","Routinely Available","Yes","High"
"ACLO","","Acacia longifolia","","High","Rapid","20","20","Yes","Medium","Yes","Yes","180","Medium","6.0","8.3","16","40","24","Intolerant","14","Routinely Available","Yes","Low"
"ACGI","","Acer ginnala","WI","High","Rapid","15","20","No","None","Yes","Yes","130","Medium","6.1","7.5","30","60","24","Intermediate","-38","Routinely Available","Yes","Low"
"ACGL","","Acer glabrum","","High","Rapid","15","30","No","None","Yes","Yes","180","Low","5.8","7.5","9","60","24","Intermediate","-43","Routinely Available","Yes","Medium"
"ACGR3","","Acer grandidentatum","","High","Moderate","20","38","No","None","Yes","Yes","100","Medium","6.0","8.0","16","30","24","Intermediate","-31","Routinely Available","Yes","Low"
"ACNE2","","Acer negundo","N'EAST","High","Rapid","35","60","No","None","Yes","Yes","100","Medium","5.0","7.8","15","75","40","Tolerant","-46","Routinely Available","Yes","Low"
"ACPL","","Acer platanoides","N'EAST, WI","High","Rapid","25","50","No","None","No","Yes","130","Medium","4.8","7.2","32","50","40","Intermediate","-28","Routinely Available","Yes","Low"
"ACRU","","Acer rubrum","N'EAST","High","Rapid","35","68","No","None","Yes","Yes","80","High","4.7","7.3","25","80","30","Intermediate","-47","Routinely Available","Yes","Medium"
"ACSA2","","Acer saccharinum","","High","Rapid","45","90","No","None","Yes","Yes","120","Medium","4.0","7.3","20","70","32","Intermediate","-47","Routinely Available","Yes","Low"
"ACSA3","","Acer saccharum","","High","Slow","20","100","No","None","Yes","Yes","80","Medium","3.7","7.9","22","80","40","Tolerant","-47","Routinely Available","Yes","Medium"
"ACMI2","","Achillea millefolium","KY, N'EAST, NE&GP, SWSS","Medium","Moderate","","3.0","No","None","No","Yes","120","Medium","6.0","8.0","8","60","8","Intermediate","-38","Routinely Available","Yes","Medium"
"ACMIO","","Achillea millefolium var. occidentalis","","Medium","Moderate","","3.0","No","None","Yes","Yes","100","Medium","6.0","8.0","8","26","8","Intermediate","-38","Routinely Available","Yes","Low"
"ACHY","","Achnatherum hymenoides","","Medium","Moderate","","2.0","No","None","Yes","Yes","90","Low","6.6","8.6","6","16","18","Intolerant","-43","Routinely Available","Yes","High"
"ACCO4","","Aconitum columbianum","","Medium","Moderate","","5.0","No","None","Yes","Yes","110","High","5.4","7.2","12","50","10","Intermediate","-28","Routinely Available","Yes","Low"
"ACAM","","Acorus americanus","","","Moderate","","3.9","No","None","No","Yes","120","High","5.6","7.2","16","65","10","Intolerant","-38","Routinely Available","No",""
"ACCA4","","Acorus calamus","","High","Moderate","","5.0","No","None","Yes","Yes","90","High","5.2","7.2","32","60","12","Intolerant","-38","Routinely Available","No","Low"
"ADCA","","Adiantum capillus-veneris","","","Moderate","","1.7","No","None","No","Yes","120","High","6.0","8.0","10","60","2","Tolerant","-33","Routinely Available","Yes","Low"
"AEGL","","Aesculus glabra","","High","Rapid","25","68","No","None","No","Yes","145","Medium","5.0","7.1","30","60","36","Tolerant","-33","Routinely Available","Yes","Low"
"AGDE2","","Agropyron desertorum","","Medium","Moderate","","2.0","No","None","No","Yes","90","Medium","6.0","8.5","6","16","10","Intolerant","-43","Routinely Available","Yes","Low"
"AGFR","","Agropyron fragile","","Medium","Rapid","","3.0","No","None","Yes","Yes","90","Low","5.6","9.0","6","25","10","Intolerant","-43","Routinely Available","Yes","Medium"
"AGCA4","","Agrostis canina","","Low","Moderate","","1.5","No","None","Yes","Yes","90","High","5.0","7.5","30","60","10","Intolerant","-33","Routinely Available","Yes","Low"
"AGCA5","","Agrostis capillaris","","Low","Rapid","","2.0","No","None","Yes","Yes","120","High","4.9","7.5","32","60","12","Intolerant","-53","Routinely Available","Yes","Low"
"AGGI2","","Agrostis gigantea","","Medium","Rapid","","2.0","No","None","No","Yes","90","Medium","4.5","8.0","28","60","14","Intolerant","-38","Routinely Available","Yes","High"
"AGHY","","Agrostis hyemalis","","Low","Moderate","","3.5","No","None","No","Yes","130","High","5.0","7.5","20","45","8","Intermediate","-33","Routinely Available","Yes","Low"
"AGST2","","Agrostis stolonifera","NE&GP, WSWS","Medium","Rapid","","2.0","No","None","No","Yes","110","High","5.1","7.5","32","60","12","Intolerant","-53","Routinely Available","Yes","Low"
"AIAL","","Ailanthus altissima","Cal-IPC, SEEPPC, STATE, WI","Medium","Rapid","50","55","No","None","Yes","Yes","150","Medium","4.1","7.9","14","90","30","Intolerant","-18","Routinely Available","Yes","Medium"
"AJRE","","Ajuga reptans","","Medium","Rapid","","0.3","No","None","No","Yes","160","High","5.5","7.5","35","65","10","Tolerant","-23","Routinely Available","No","Low"
"ALJU","","Albizia julibrissin","FLEPPC, SEEPPC","Low","Rapid","20","20","No","Medium","Yes","Yes","200","Medium","4.8","7.3","30","60","30","Intolerant","2","Routinely Available","Yes","Low"
"ALMO","","Aleurites moluccanus","","","","","","","","","","","","","","","","","","","","",""
"ALMO","ALMO2","Aleurites moluccana","","High","Moderate","50","50","Yes","None","Yes","Yes","365","Medium","5.5","7.0","40","200","36","Intermediate","49","Routinely Available","Yes",""
"ALPL","","Alisma plantago-aquatica","","","Moderate","","3.0","No","None","No","No","110","High","6.3","7.5","20","65","16","Intolerant","-33","Routinely Available","Yes","Medium"
"ALSU","","Alisma subcordatum","","Medium","Moderate","","0.5","No","None","No","Yes","90","High","5.0","7.0","35","60","8","Intolerant","-33","Routinely Available","Yes",""
"ALGL2","","Alnus glutinosa","SEEPPC, WI","Low","Rapid","40","45","No","High","Yes","Yes","130","Medium","4.4","7.2","20","65","16","Intermediate","-18","Routinely Available","Yes","Low"
"ALIN2","","Alnus incana","","High","Rapid","15","25","No","Medium","Yes","Yes","100","High","5.0","7.0","32","60","24","Intermediate","-33","Routinely Available","Yes","Medium"
"ALINR","","Alnus incana ssp. rugosa","","High","Moderate","16","16","No","Low","No","Yes","80","Medium","4.8","7.7","21","65","24","Intermediate","-47","Routinely Available","Yes","Low"
"ALINT","","Alnus incana ssp. tenuifolia","","High","Rapid","20","20","No","Medium","Yes","Yes","130","High","5.5","7.0","10","20","18","Intermediate","-62","Routinely Available","Yes","Low"
"ALMA7","","Alnus maritima","","Medium","Moderate","20","30","No","Medium","Yes","Yes","185","High","5.0","7.0","36","50","20","Intermediate","2","Routinely Available","Yes","Medium"
"ALRH2","","Alnus rhombifolia","","High","Rapid","50","65","No","Low","Yes","Yes","200","High","4.8","7.5","20","125","12","Tolerant","-24","Routinely Available","Yes","Low"
"ALRU2","","Alnus rubra","","High","Rapid","50","90","No","High","Yes","Yes","180","High","4.3","7.3","24","220","25","Intolerant","-22","Routinely Available","Yes","Medium"
"ALSE2","","Alnus serrulata","","High","Rapid","12","30","No","Medium","Yes","Yes","120","High","5.0","7.0","32","60","24","Intolerant","-23","Routinely Available","Yes","Medium"
"ALVIC","","Alnus viridis ssp. crispa","","High","Moderate","10","10","No","Low","Yes","Yes","80","High","4.8","7.0","12","60","20","Intermediate","-62","Routinely Available","Yes","Low"
"ALVIS","","Alnus viridis ssp. sinuata","","High","Slow","10","16","No","Low","Yes","Yes","90","High","5.0","7.5","16","200","10","Intermediate","-48","Routinely Available","Yes","Low"
"ALAR","","Alopecurus arundinaceus","","High","Rapid","","3.0","No","None","No","Yes","30","Medium","5.5","8.4","18","70","12","Intolerant","-43","Routinely Available","Yes","High"
"ALGE2","","Alopecurus geniculatus","","","Moderate","","2.0","No","None","Yes","Yes","100","High","4.0","7.5","20","45","12","Intolerant","-43","Routinely Available","Yes","Medium"
"ALPR3","","Alopecurus pratensis","","Medium","Rapid","","3.0","No","None","No","Yes","90","High","5.8","8.0","18","60","12","Intolerant","-38","Routinely Available","Yes","Medium"
"AMAL2","","Amelanchier alnifolia","","Medium","Moderate","15","15","No","None","Yes","Yes","100","Medium","4.8","8.4","12","140","24","Intermediate","-62","Routinely Available","Yes","Medium"
"AMCA4","","Amelanchier canadensis","","Medium","Moderate","20","23","No","None","Yes","Yes","110","Medium","5.5","7.5","30","60","20","Intermediate","-33","Routinely Available","Yes","High"
"AMUT","","Amelanchier utahensis","","Medium","Rapid","10","15","No","None","Yes","Yes","110","Medium","5.6","8.4","12","45","24","Intermediate","-28","Routinely Available","Yes","High"
"AMAR4","","Ammophila arenaria","Cal-IPC","Low","Moderate","","2.0","No","None","Yes","Yes","175","Medium","6.0","8.5","30","60","20","Intolerant","7","Routinely Available","No","Medium"
"AMBR","","Ammophila breviligulata","","High","Rapid","","2.5","Yes","None","Yes","Yes","130","Medium","5.8","7.8","35","60","20","Intolerant","-28","Routinely Available","No","Medium"
"AMCA6","","Amorpha canescens","","Medium","Moderate","4","4.0","No","Medium","Yes","Yes","100","Low","5.5","8.0","20","45","20","Tolerant","-38","Routinely Available","Yes","High"
"AMFR","","Amorpha fruticosa","STATE","High","Slow","6","15","No","Medium","Yes","Yes","100","Low","5.0","8.5","10","65","24","Intolerant","-38","Routinely Available","Yes","Low"
"ANCO30","","Ananas comosus","","Medium","Slow","","3.0","No","None","Yes","Yes","365","Medium","4.0","6.0","30","80","24","Tolerant","32","Routinely Available","No",""
"ANIN","","Andira inermis","","High","Rapid","120","90","Yes","Medium","Yes","Yes","365","Low","","","98","256","36","Intolerant","32","Routinely Available","Yes","Low"
"ANGE","","Andropogon gerardii","SWSS","Medium","Moderate","","6.0","No","None","Yes","Yes","155","Low","6.0","7.5","12","55","20","Intolerant","-46","Routinely Available","Yes","Medium"
"ANGL2","","Andropogon glomeratus","","Medium","Moderate","","6.3","No","None","Yes","Yes","160","High","5.0","6.3","35","70","12","Intolerant","-23","Routinely Available","Yes","Medium"
"ANHA","","Andropogon hallii","","Medium","Moderate","","6.1","No","None","Yes","No","120","Medium","5.6","8.4","10","32","20","Intolerant","-38","Routinely Available","Yes","Medium"
"ANVI2","","Andropogon virginicus","HEAR, KY, N'EAST, STATE, SWSS","High","Slow","","3.0","No","None","No","Yes","135","Medium","4.9","7.0","30","45","14","Intolerant","-18","Routinely Available","Yes","Low"
"ANCA10","","Anemopsis californica","","Low","Moderate","","1.5","No","None","No","Yes","280","High","6.5","9.0","6","18","6","Intolerant","22","Routinely Available","Yes",""
"ANAR3","","Angelica arguta","","High","Rapid","","6.0","No","None","No","Yes","165","High","6.5","7.5","12","20","10","Intermediate","-18","Routinely Available","Yes",""
"ANMU2","","Annona muricata","","High","Moderate","20","20","Yes","None","Yes","Yes","365","Medium","5.0","7.0","60","90","60","Intermediate","17","Routinely Available","Yes","Medium"
"ANRE","","Annona reticulata","","Medium","","26","20","No","None","Yes","No","365","","","","32","98","36","Intolerant","40","Routinely Available","Yes","Medium"
"ANSQ","","Annona squamosa","","Medium","","30","20","Yes","None","Yes","Yes","365","","","","32","98","24","Intolerant","27","Routinely Available","Yes","Medium"
"APAM","","Apios americana","","Low","Rapid","","1.0","No","Medium","Yes","Yes","140","Medium","6.0","7.5","28","55","8","Tolerant","-23","Routinely Available","Yes","Medium"
"AQCO","","Aquilegia coerulea","","","","","","","","","","","","","","","","","","","","",""
"AQCO","AQCA2","Aquilegia caerulea","","Medium","Moderate","","2.0","No","None","Yes","Yes","130","Medium","6.2","8.4","12","40","10","Tolerant","-28","Routinely Available","Yes","Low"
"ARSP2","","Aralia spinosa","","High","Moderate","20","20","No","None","Yes","Yes","160","High","4.8","6.6","35","80","30","Intolerant","-25","Routinely Available","Yes","Low"
"ARME","","Arbutus menziesii","","High","Slow","25","80","Yes","None","Yes","Yes","200","Low","4.5","7.4","15","163","24","Intermediate","13","Routinely Available","Yes","Medium"
"ARNE","","Arctostaphylos nevadensis","","High","Slow","2","2.0","Yes","None","Yes","Yes","180","Low","6.0","8.4","16","80","30","Tolerant","-13","Routinely Available","Yes","Low"
"ARPA6","","Arctostaphylos patula","","High","Slow","5","6.0","Yes","None","Yes","Yes","120","Medium","5.5","7.6","13","60","20","Intermediate","-28","Routinely Available","Yes","Low"
"ARUV","","Arctostaphylos uva-ursi","","High","Moderate","","0.5","Yes","None","Yes","Yes","140","Low","5.5","8.0","14","45","10","Intermediate","-33","Routinely Available","No","Low"
"ARPLP","","Argemone pleiacantha ssp. pinnatisecta","","High","Moderate","","0.6","No","None","Yes","Yes","200","Low","7.0","9.0","6","12","16","Intolerant","7","Routinely Available","Yes",""
"ARAN7","","Argentina anserina","","Low","Rapid","","0.5","No","None","Yes","Yes","200","High","7.0","8.0","11","40","6","Tolerant","-23","Routinely Available","No","Medium"
"ARTR","","Arisaema triphyllum","","High","Moderate","","1.5","No","None","Yes","Yes","175","High","4.8","7.0","34","50","8","Tolerant","-18","Routinely Available","Yes","Low"
"ARMA6","","Armeria maritima","","High","Moderate","","0.9","Yes","None","Yes","Yes","110","Medium","4.7","7.5","32","60","10","Intolerant","-28","Routinely Available","No","Low"
"ARAR7","","Aronia arbutifolia","","","","","","","","","","","","","","","","","","","","",""
"ARAR7","PHPY4","Photinia pyrifolia","","High","Moderate","5","5.0","No","None","No","Yes","130","High","5.5","7.5","34","60","20","Intolerant","-18","Routinely Available","Yes","Low"
"ARCA13","","Artemisia cana","WSWS","Medium","Moderate","5","5.0","No","None","Yes","Yes","90","Low","5.2","9.0","8","40","20","Intolerant","-43","Routinely Available","Yes","Medium"
"ARFR4","","Artemisia frigida","NE&GP, WSWS","High","Rapid","","2.0","No","None","Yes","Yes","90","Low","7.0","9.0","10","40","8","Intermediate","-43","Routinely Available","Yes","High"
"ARLU","","Artemisia ludoviciana","NE&GP","High","Moderate","","3.0","No","None","Yes","Yes","70","Low","6.0","9.0","10","60","8","Intolerant","-33","Routinely Available","Yes","Medium"
"ARNO4","","Artemisia nova","","Medium","Moderate","2","2.0","No","None","Yes","Yes","90","Low","7.0","8.5","6","20","10","Intolerant","-23","Routinely Available","Yes","Medium"
"ARTI","","Artemisia tilesii","","Low","Moderate","54","36","No","None","Yes","No","120","Medium","5.0","7.5","10","32","12","Tolerant","-62","Routinely Available","Yes","Low"
"ARTR2","","Artemisia tridentata","WSWS","Low","Slow","3","4.0","Yes","None","No","Yes","90","Medium","6.0","8.2","6","16","20","Intolerant","-43","Routinely Available","Yes","Low"
"ARTRT","","Artemisia tridentata ssp. tridentata","","High","Slow","9","9.0","Yes","None","Yes","Yes","90","Low","6.5","8.5","6","35","16","Intolerant","-13","Routinely Available","Yes","Medium"
"ARTRV","","Artemisia tridentata ssp. vaseyana","","Medium","Slow","5","7.0","No","None","Yes","Yes","90","Low","6.0","8.5","11","45","16","Intolerant","-43","Routinely Available","Yes","Low"
"ARAL7","","Artocarpus altilis","","High","Rapid","60","60","Yes","None","Yes","Yes","365","High","4.0","7.0","60","100","60","Intermediate","17","Routinely Available","Yes","Low"
"ARGI","","Arundinaria gigantea","","High","Rapid","","25","No","None","Yes","Yes","180","Medium","5.0","6.9","24","100","18","Intolerant","-23","Routinely Available","No","Medium"
"ARDO4","","Arundo donax","Cal-IPC, HEAR, SEEPPC, STATE","High","Rapid","","9.0","No","None","No","Yes","220","High","4.8","7.0","35","65","24","Intermediate","7","Routinely Available","No","Low"
"ASIN","","Asclepias incarnata","NE&GP, WSWS","","Moderate","","4.9","No","None","No","Yes","107","High","5.0","8.0","15","65","18","Intolerant","-38","Routinely Available","Yes",""
"ASSP","","Asclepias speciosa","WSWS","High","Moderate","","6.0","No","None","Yes","Yes","90","Medium","5.0","7.0","16","30","18","Intolerant","-33","Routinely Available","Yes",""
"ASTU","","Asclepias tuberosa","","Low","Slow","","2.0","No","None","Yes","Yes","135","Low","4.8","6.8","28","45","16","Intolerant","-33","Routinely Available","Yes","Low"
"ASTR","","Asimina triloba","","High","Slow","25","25","No","None","Yes","Yes","160","Medium","4.7","7.2","36","80","20","Tolerant","-27","Routinely Available","Yes","Low"
"ASAL3","","Aster alpinus","","Medium","Slow","","0.3","No","None","No","Yes","90","Medium","6.0","7.5","18","36","15","Intermediate","-28","Routinely Available","Yes","Low"
"ASCA11","","Astragalus canadensis","","Medium","Moderate","","0.5","No","Low","No","Yes","175","Medium","6.0","8.0","20","50","10","Intolerant","-38","Routinely Available","Yes","Low"
"ASCI4","","Astragalus cicer","","Low","Moderate","","3.0","No","High","No","Yes","115","High","6.0","8.5","16","60","16","Intolerant","-43","Routinely Available","Yes","High"
"ATFI","","Athyrium filix-femina","","Medium","Moderate","","3.0","No","None","No","Yes","80","Medium","4.5","7.0","30","60","12","Tolerant","-38","Routinely Available","No",""
"ATCA2","","Atriplex canescens","","Medium","Slow","4","4.0","No","None","Yes","Yes","115","Medium","6.5","9.5","5","18","20","Intolerant","-43","Routinely Available","Yes","High"
"ATCO","","Atriplex confertifolia","","High","Slow","3","3.0","No","None","Yes","Yes","165","Medium","7.5","9.0","4","12","10","Intolerant","-38","Routinely Available","Yes","High"
"ATGA","","Atriplex gardneri","","Medium","Slow","4","4.0","No","None","Yes","Yes","110","Low","6.6","9.0","5","12","20","Intolerant","-38","Routinely Available","Yes","High"
"ATLE","","Atriplex lentiformis","","High","Moderate","10","10","No","None","No","Yes","195","Low","7.0","10.0","4","20","20","Intolerant","7","Routinely Available","Yes","Medium"
"ATNU","","Atriplex nummularia","","High","Slow","9","9.0","No","None","Yes","Yes","150","Low","6.0","9.0","7","17","20","Intolerant","-8","Routinely Available","Yes","Medium"
"AVSA","","Avena sativa","SWSS","Low","Rapid","","2.0","No","None","Yes","Yes","90","Medium","5.3","8.5","25","100","8","Intolerant","-23","Routinely Available","Yes","Medium"
"AVGE","","Avicennia germinans","","High","Rapid","50","30","Yes","None","No","Yes","328","High","6.0","8.0","34","81","24","Intolerant","10","Routinely Available","Yes","Low"
"BAHA","","Baccharis halimifolia","","High","Moderate","10","10","No","None","Yes","Yes","180","High","5.5","7.8","36","60","20","Intermediate","-3","Routinely Available","Yes",""
"BAPI","","Baccharis pilularis","","High","Moderate","10","10","Yes","None","Yes","Yes","210","Low","6.0","8.5","12","30","20","Intolerant","22","Routinely Available","Yes","Low"
"BASA4","","Baccharis salicifolia","","High","Rapid","10","10","No","None","Yes","Yes","160","Medium","7.0","8.5","10","18","12","Intolerant","-3","Routinely Available","Yes","Low"
"BASA3","","Balsamorhiza sagittata","","Medium","Moderate","","2.0","No","None","No","Yes","150","Medium","6.5","8.0","8","25","14","Intermediate","-38","Routinely Available","Yes","High"
"BAVU2","","Bambusa vulgaris","","High","Rapid","","50","Yes","None","Yes","Yes","365","Medium","4.0","7.0","60","100","24","Intolerant","17","Routinely Available","Yes","Low"
"BAMA5","","Batis maritima","","Low","Moderate","","0.1","No","None","Yes","Yes","200","Medium","4.0","7.9","28","60","6","Intolerant","17","Routinely Available","Yes","Low"
"BEJU4","","Berberis julianae","","","","","","","","","","","","","","","","","","","","",""
"BEJU4","BEJU3","Berberis julianiae","","High","Moderate","7","7.0","Yes","None","Yes","Yes","180","Medium","5.0","7.5","32","55","14","Intolerant","-3","Routinely Available","Yes","Low"
"BETH","","Berberis thunbergii","SEEPPC, WI","High","Moderate","6","6.0","No","None","Yes","Yes","180","Medium","5.5","7.2","30","60","18","Intolerant","-28","Routinely Available","Yes","Low"
"BENI","","Betula nigra","","Medium","Rapid","35","70","No","None","Yes","Yes","150","High","3.0","6.5","30","80","20","Intolerant","-31","Routinely Available","Yes","Medium"
"BEOC2","","Betula occidentalis","","Medium","Rapid","25","25","No","None","Yes","Yes","140","High","5.5","7.8","10","70","20","Intermediate","-62","Routinely Available","Yes","Medium"
"BEPA","","Betula papyrifera","","Medium","Rapid","40","70","No","None","Yes","Yes","80","High","4.2","7.4","12","60","24","Intolerant","-62","Routinely Available","Yes","High"
"BEPE3","","Betula pendula","","Medium","Rapid","40","60","No","None","Yes","Yes","90","High","5.0","7.5","30","55","24","Intolerant","-33","Routinely Available","Yes","Low"
"BEPO","","Betula populifolia","","Medium","Rapid","25","25","No","None","Yes","Yes","90","Low","3.5","6.5","36","65","18","Intermediate","-35","Routinely Available","Yes","Medium"
"BEPU4","","Betula pumila","","High","Moderate","20","20","No","None","No","Yes","90","Medium","5.1","8.5","16","60","18","Intolerant","-38","Routinely Available","Yes","High"
"BIAR","","Bidens aristosa","KY","Medium","Rapid","","3.5","No","None","No","Yes","140","High","5.0","7.0","22","55","8","Intermediate","52","Routinely Available","Yes","Low"
"BICE","","Bidens cernua","NE&GP, WSWS","Medium","Rapid","","3.2","No","None","Yes","Yes","85","High","5.1","7.0","32","55","8","Intermediate","47","Routinely Available","Yes","Low"
"BICO5","","Bidens connata","","Medium","Rapid","","3.2","No","None","Yes","Yes","115","High","5.2","7.1","32","55","8","Intermediate","47","Routinely Available","Yes","Low"
"BICO","","Bidens coronata","","Medium","Rapid","","3.4","No","None","Yes","Yes","145","High","5.2","7.1","32","55","8","Intermediate","52","Routinely Available","Yes","Low"
"BIFR","","Bidens frondosa","N'EAST, NE&GP","High","Rapid","","4.0","No","None","Yes","Yes","80","Medium","5.2","7.2","24","60","8","Intermediate","47","Routinely Available","Yes","Low"
"BILA","","Bidens laevis","","Medium","Rapid","","3.3","No","None","Yes","Yes","145","High","5.0","7.0","24","55","8","Intermediate","52","Routinely Available","Yes","Low"
"BOFL3","","Bolboschoenus fluviatilis","","","","","","","","","","","","","","","","","","","","",""
"BOFL3","SCFL11","Schoenoplectus fluviatilis","","","Moderate","","6.6","No","None","No","Yes","110","Medium","4.0","7.5","18","60","16","Intolerant","-38","Routinely Available","Yes",""
"BOMA7","","Bolboschoenus maritimus","","","","","","","","","","","","","","","","","","","","",""
"BOMA7","SCMA8","Schoenoplectus maritimus","","","Moderate","","3.2","No","None","Yes","Yes","110","Medium","4.0","7.0","40","60","12","Intolerant","-23","Routinely Available","Yes",""
"BORO5","","Bolboschoenus robustus","","","","","","","","","","","","","","","","","","","","",""
"BORO5","SCRO5","Schoenoplectus robustus","","Medium","Rapid","","4.9","No","None","No","Yes","120","High","6.4","8.4","16","35","16","Intolerant","7","Routinely Available","Yes",""
"BOAS","","Boltonia asteroides","","Medium","Rapid","","8.0","No","None","Yes","Yes","80","Medium","5.3","7.0","22","55","12","Intermediate","-38","Routinely Available","Yes","Low"
"BOFR","","Borrichia frutescens","","Medium","Rapid","","2.6","No","None","Yes","Yes","200","Medium","6.1","7.5","28","60","14","Intolerant","17","Routinely Available","Yes","Medium"
"BOBA3","","Bothriochloa barbinodis","","Medium","Rapid","","4.0","No","None","Yes","Yes","180","Medium","7.0","8.2","12","20","10","Intolerant","2","Routinely Available","Yes","Low"
"BOBL","","Bothriochloa bladhii","","Medium","Rapid","","3.0","No","None","No","Yes","150","Medium","5.0","8.0","20","50","18","Intolerant","-23","Routinely Available","Yes","Low"
"BOISI","","Bothriochloa ischaemum var. ischaemum","","Medium","Rapid","","2.0","No","None","No","Yes","160","Medium","5.0","8.5","16","30","12","Intolerant","-3","Routinely Available","Yes","High"
"BOPE2","","Bothriochloa pertusa","","Medium","Rapid","","3.0","Yes","None","Yes","Yes","365","Low","5.0","7.5","20","80","12","Intolerant","17","Routinely Available","Yes","High"
"BOCU","","Bouteloua curtipendula","","Medium","Moderate","","3.0","No","None","Yes","Yes","90","Medium","5.5","8.5","6","25","12","Intolerant","-43","Routinely Available","Yes","Medium"
"BODA2","","Bouteloua dactyloides","","","","","","","","","","","","","","","","","","","","",""
"BODA2","BUDA","Buchloe dactyloides","SWSS","Medium","Moderate","","0.5","No","None","No","Yes","145","Medium","6.5","8.0","7","32","12","Intolerant","-38","Routinely Available","Yes","Medium"
"BOER4","","Bouteloua eriopoda","","Medium","Moderate","","2.0","No","None","Yes","Yes","155","Low","7.0","8.7","7","19","12","Intolerant","-23","Routinely Available","Yes","High"
"BOGR2","","Bouteloua gracilis","","Medium","Rapid","","1.0","No","None","Yes","Yes","142","Medium","6.6","8.4","8","22","16","Intolerant","-43","Routinely Available","Yes","High"
"BRRA","","Brassica rapa","SWSS, WSWS","Medium","Rapid","","3.0","No","None","Yes","Yes","125","High","5.0","8.0","35","55","12","Intermediate","-13","Routinely Available","Yes","High"
"BRPI4","","Bromelia pinguin","","Medium","Moderate","","4.0","No","None","Yes","Yes","360","Low","4.5","6.5","33","79","12","Tolerant","28","Routinely Available","Yes","Medium"
"BRCA5","","Bromus carinatus","WSWS","Low","Rapid","","4.0","No","None","Yes","Yes","150","Low","5.5","8.0","8","20","8","Intolerant","17","Routinely Available","Yes","High"
"BRCA6","","Bromus catharticus","SEEPPC, SWSS, WSWS","Low","Rapid","","3.0","No","None","Yes","Yes","80","High","5.5","8.0","18","28","12","Intolerant","7","Routinely Available","Yes","Low"
"BRCI2","","Bromus ciliatus","","Medium","Moderate","","4.0","No","None","Yes","No","175","Medium","5.5","7.5","12","40","16","Tolerant","-3","Routinely Available","Yes","Medium"
"BRHOH","","Bromus hordeaceus ssp. hordeaceus","","Low","Rapid","","2.0","No","None","Yes","Yes","90","Medium","5.5","8.0","12","20","10","Intermediate","17","Routinely Available","Yes","High"
"BRIN2","","Bromus inermis","NE&GP, SEEPPC, WI","Medium","Moderate","","2.5","No","None","No","Yes","90","Medium","5.5","8.0","18","60","12","Intolerant","-43","Routinely Available","Yes","Medium"
"BRMA4","","Bromus marginatus","","Medium","Rapid","","4.0","No","None","Yes","Yes","150","High","5.5","8.0","10","20","20","Intolerant","-28","Routinely Available","Yes","Medium"
"BRRU2","","Bromus rubens","Cal-IPC","Medium","Rapid","","1.3","No","None","Yes","Yes","65","Low","6.0","8.2","5","16","8","Intolerant","22","Routinely Available","Yes","Low"
"BUBU","","Bucida buceras","","","Rapid","75","50","Yes","None","Yes","Yes","365","","4.0","8.0","50","200","36","Tolerant","32","Routinely Available","Yes","Low"
"CACA","","Cabomba caroliniana","STATE","","Rapid","","","No","None","Yes","Yes","140","High","5.7","9.2","40","60","12","Intermediate","-23","Routinely Available","Yes","Medium"
"CACA27","","Cajanus cajan","","Medium","Moderate","10","10","Yes","Medium","Yes","Yes","365","Low","5.0","8.3","25","150","16","Intermediate","31","Routinely Available","Yes","High"
"CACA4","","Calamagrostis canadensis","","","Moderate","","4.9","No","None","No","Yes","102","Medium","4.5","8.0","14","65","16","Intolerant","-33","Routinely Available","Yes","Medium"
"CACO71","","Calamagrostis coarctata","","","Moderate","","4.9","No","None","No","Yes","110","Medium","4.0","7.0","35","65","6","Intolerant","-28","Routinely Available","Yes",""
