"Accepted Symbol","Synonym Symbol","Scientific Name","Invasive","C:N Ratio","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Leaf Retention","Nitrogen Fixation","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Frost Free Days, Minimum","Moisture Use","pH (Minimum)","pH (Maximum)","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Shade Tolerance","Temperature, Minimum (°F)","Commercial Availability","Propogated by Seed","Palatable Browse Animal"
"ULPU","","Ulmus pumila","NE&GP, SEEPPC, STATE","High","Rapid","40","70","No","None","Yes","Yes","90","Medium","5.5","8.0","16","50","24","Intolerant","-38","Routinely Available","Yes","Low"
"ULRU","","Ulmus rubra","","High","Rapid","45","85","No","None","Yes","Yes","90","High","5.0","7.5","21","83","40","Tolerant","-43","Routinely Available","Yes","Low"
"UMCA","","Umbellularia californica","","High","Moderate","30","80","Yes","None","Yes","Yes","140","High","5.7","7.4","13","84","16","Tolerant","-13","Routinely Available","Yes","Medium"
"UNPA","","Uniola paniculata","","High","Slow","","6.0","No","None","Yes","Yes","180","Low","6.0","7.5","35","65","20","Intolerant","7","Routinely Available","No","High"
"URBR2","","Urochloa brizantha","","Medium","Rapid","","2.0","No","None","No","Yes","120","Low","5.0","7.5","12","48","6","Intolerant","17","Routinely Available","Yes","Medium"
"URMA3","","Urochloa maxima","","Medium","Rapid","","5.0","No","None","Yes","Yes","300","Medium","5.2","6.9","28","100","12","Intolerant","22","Routinely Available","Yes","High"
"URMU","","Urochloa mutica","FLEPPC","Medium","Rapid","","3.0","No","None","Yes","Yes","365","Medium","5.3","8.7","30","200","36","Intermediate","17","Routinely Available","Yes","Medium"
"VAAN","","Vaccinium angustifolium","","Medium","Moderate","1","2.0","No","None","Yes","Yes","100","Medium","4.7","7.5","32","50","16","Intolerant","-33","Routinely Available","Yes","High"
"VACO","","Vaccinium corymbosum","","Medium","Moderate","12","12","No","None","Yes","Yes","100","Medium","4.7","7.5","32","50","16","Tolerant","-33","Routinely Available","Yes","Medium"
"VAEL","","Vaccinium elliottii","","Medium","Moderate","8","10","No","None","Yes","Yes","190","Medium","4.5","5.6","36","50","12","Intermediate","-3","Routinely Available","Yes","High"
"VAUL","","Vaccinium uliginosum","","Medium","Moderate","2","2.0","No","None","No","Yes","90","Medium","4.5","5.7","18","45","12","Intermediate","-38","Routinely Available","Yes","Medium"
"VAVI","","Vaccinium vitis-idaea","","Low","Moderate","1","0.5","Yes","None","Yes","No","120","","4.5","6.0","10","276","12","Intolerant","-62","Routinely Available","Yes","Medium"
"VAAM3","","Vallisneria americana","","Low","Rapid","","1.0","No","None","Yes","Yes","90","High","5.0","8.8","","","0","Intolerant","-33","Routinely Available","Yes",""
"VEMI2","","Vernonia missurica","","High","Moderate","","6.0","No","None","Yes","Yes","165","Medium","5.0","7.0","34","55","8","Intolerant","-33","Routinely Available","Yes","Low"
"VENO","","Vernonia noveboracensis","","","Moderate","","6.6","No","None","No","Yes","140","Medium","4.5","8.0","40","60","6","Intermediate","-33","Routinely Available","Yes","Medium"
"VEAM2","","Veronica americana","","Medium","Rapid","","0.8","No","None","No","Yes","100","High","5.7","7.5","16","60","6","Tolerant","-38","Routinely Available","Yes","Medium"
"VEWO2","","Veronica wormskjoldii","","Medium","Moderate","","1.0","No","None","No","Yes","80","High","6.0","7.3","32","55","6","Intermediate","-28","Routinely Available","Yes","Low"
"VEZI80","","Vetiveria zizanioides","","Medium","Rapid","","7.0","Yes","None","Yes","Yes","365","Low","3.0","8.0","12","200","24","Intermediate","14","Routinely Available","Yes","Low"
"VIED","","Viburnum edule","","High","Rapid","12","2.0","No","None","Yes","Yes","120","","5.0","7.3","8","180","12","Tolerant","-62","Routinely Available","Yes","Medium"
"VILA11","","Viburnum lantanoides","","High","Slow","10","10","No","None","No","Yes","110","Medium","4.9","7.0","30","50","14","Tolerant","-38","Routinely Available","Yes","High"
"VILE","","Viburnum lentago","","","Slow","28","28","No","None","No","Yes","128","Medium","5.0","7.0","38","60","14","Tolerant","-33","Routinely Available","Yes","Low"
"VINUC","","Viburnum nudum var. cassinoides","","Medium","Slow","15","15","No","None","No","Yes","110","Medium","4.9","7.0","35","50","14","Tolerant","-33","Routinely Available","Yes","High"
"VIOP","","Viburnum opulus","WI","Medium","Slow","12","12","No","None","No","Yes","110","Medium","5.2","7.0","30","50","14","Tolerant","-38","Routinely Available","Yes","Low"
"VIOPA2","","Viburnum opulus var. americanum","","High","Slow","6","6.0","No","None","No","Yes","130","High","5.5","7.5","32","60","14","Intolerant","-38","Routinely Available","Yes","Low"
"VIPR","","Viburnum prunifolium","","Medium","Slow","16","16","No","None","No","Yes","110","Medium","4.8","7.5","35","50","18","Tolerant","-33","Routinely Available","Yes","Medium"
"VIRE7","","Viburnum recognitum","","","","","","","","","","","","","","","","","","","","",""
"VIRE7","VIDEL","Viburnum dentatum var. lucidum","","High","Slow","9","9.0","No","None","No","Yes","128","Medium","5.0","7.0","38","60","14","Tolerant","-28","Routinely Available","Yes","Low"
"VICR","","Vicia cracca","","Low","Moderate","","1.5","No","Medium","Yes","Yes","110","Low","4.9","7.0","32","60","12","Intermediate","-33","Routinely Available","Yes","High"
"VILU2","","Vicia lutea","","Low","Moderate","","2.0","No","High","No","Yes","110","Medium","5.5","6.9","32","58","10","Intolerant","-23","Routinely Available","Yes","High"
"VIVI","","Vicia villosa","N'EAST, SWSS, WSWS","Low","Rapid","","1.5","No","Medium","Yes","Yes","100","Medium","6.0","7.5","18","65","6","Intolerant","-30","Routinely Available","Yes","High"
