"Accepted Symbol","Synonym Symbol","Scientific Name","Federal Noxious Status","State Noxious Status","Invasive","C:N Ratio","Foliage Texture","Growth Rate","Height, Mature (feet)","Leaf Retention","Nitrogen Fixation","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Frost Free Days, Minimum","Moisture Use","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Shade Tolerance","Temperature, Minimum (°F)","Palatable Browse Animal","Palatable Graze Animal"
"QUSH","","Quercus shumardii","","","","High","Medium","Moderate","100","No","None","Yes","Yes","120","Medium","25","70","40","Intolerant","-22","Low","Low"
"QUST","","Quercus stellata","","","","High","Coarse","Slow","60","No","None","Yes","Yes","165","Medium","22","80","36","Intolerant","-33","Low","Low"
"RAAL","","Ranunculus alismifolius","","","","Medium","Fine","Moderate","2.0","No","None","Yes","Yes","85","High","10","30","9","Intermediate","-33","Low","Low"
"RAES","","Ranunculus eschscholtzii","","","","Medium","Medium","Moderate","1.0","No","None","Yes","Yes","90","Medium","12","20","9","Intolerant","-33","Low","Low"
"RATA","","Ratibida tagetes","","","","Medium","Fine","Rapid","1.0","No","None","Yes","Yes","160","Low","9","35","6","Intolerant","-28","Low","Low"
"RHCA6","","Rhododendron canadense","","","","High","Coarse","Moderate","18","Yes","None","Yes","Yes","120","High","35","50","16","Tolerant","-23","Low","Low"
"RHPE4","","Rhododendron periclymenoides","","","","High","Medium","Moderate","10","No","None","Yes","Yes","190","Low","36","50","8","Tolerant","-18","Low","Low"
"RHCO","","Rhus copallinum","","","","High","Coarse","Moderate","8.0","No","None","Yes","Yes","140","Low","28","60","14","Intolerant","-28","Low","Low"
"RHGL","","Rhus glabra","","","NE&GP","High","Coarse","Moderate","12","No","None","Yes","Yes","135","Low","30","60","24","Intolerant","-33","Low","Low"
"RIRO","","Ribes roezlii","","","","High","Fine","Moderate","5.0","No","None","Yes","Yes","160","Low","12","24","16","Intermediate","-28","Low","Low"
"ROPS","","Robinia pseudoacacia","","CT (INB), MA (P)","Cal-IPC, N'EAST","Medium","Medium","Rapid","60","No","Medium","Yes","Yes","140","Medium","16","65","36","Intolerant","-37","Low","Low"
"ROPI2","","Rosa pisocarpa","","","","Medium","Coarse","Rapid","3.0","No","None","Yes","Yes","77","","15","104","12","Intolerant","-24","Low","Low"
"RORU82","","Rosa rubiginosa","","","","","","","","","","","","","","","","","","","",""
"RORU82","ROEG","Rosa eglanteria","","","","High","Coarse","Moderate","10","No","None","Yes","Yes","100","Medium","32","45","20","Intolerant","-33","Low","Low"
"RORU","","Rosa rugosa","","CT (PINB)","STATE","High","Coarse","Moderate","5.0","No","None","Yes","Yes","140","Medium","34","60","14","Intolerant","-33","Low","Low"
"ROVI2","","Rosa virginiana","","","","Medium","Medium","Moderate","6.0","No","None","Yes","Yes","130","Medium","35","55","16","Intermediate","-18","Low","Low"
"ROWI","","Rosa wichuraiana","","","","","Coarse","Rapid","1.0","No","None","Yes","Yes","140","Medium","35","55","16","Intolerant","-23","Low","Low"
"RUHI","","Rubus hispidus","","","","","Medium","Moderate","2.0","No","None","Yes","Yes","140","High","30","70","12","Intolerant","-38","Low","Low"
"RUMA4","","Rumex maritimus","","","","High","Coarse","Rapid","2.0","No","None","Yes","Yes","135","High","14","55","12","Intermediate","-38","Low","Low"
"SARA3","","Saccharum ravennae","","","","High","Coarse","Rapid","7.0","No","None","Yes","Yes","185","Medium","28","55","14","Intolerant","-8","Low","Low"
"SABA3","","Salix barclayi","","","","High","Medium","Rapid","15","No","None","Yes","Yes","100","High","20","60","16","Intolerant","-43","Low","Low"
"SAEX","","Salix exigua","","","","Medium","Medium","Rapid","10","No","None","Yes","Yes","120","High","20","30","20","Intermediate","-38","Low","Low"
"SANI","","Salix nigra","","","","Medium","Medium","Rapid","100","No","None","Yes","Yes","120","High","18","80","32","Intolerant","-58","Low","Low"
"SARI4","","Salix richardsonii","","","","High","Medium","Slow","15","No","None","Yes","Yes","88","Low","31","63","17","Intolerant","-38","Low","Low"
"SASE3","","Salix sessilifolia","","","","High","Medium","Rapid","20","No","None","Yes","Yes","180","Medium","20","120","24","Intermediate","-33","Low","Low"
"SANIC5","","Sambucus nigra ssp. cerulea","","","","","Coarse","Rapid","23","No","None","Yes","Yes","80","Low","10","60","12","Intermediate","-38","Low","Low"
"SASAD","","Sapindus saponaria var. drummondii","","","","High","Fine","Moderate","20","No","None","Yes","Yes","150","Low","10","15","12","Intolerant","-13","Low","Low"
"SAOF4","","Saponaria officinalis","","CO (BW)","Cal-IPC, KY, NE&GP, STATE, WSWS","High","Medium","Moderate","2.2","No","None","Yes","Yes","130","Medium","32","45","10","Intermediate","-18","Low","Low"
"SCMI2","","Scirpus microcarpus","","","","High","Medium","Rapid","5.5","No","None","Yes","Yes","80","Medium","12","38","12","Intolerant","-38","Low","Low"
"SCPA8","","Scirpus pallidus","","","","High","Medium","Rapid","5.0","No","None","Yes","Yes","80","Medium","16","28","10","Intolerant","-38","Low","Low"
"SCPE4","","Scirpus pendulus","","","","High","Medium","Moderate","4.0","No","None","Yes","Yes","80","Medium","30","55","10","Intolerant","-38","Low","Low"
